id,type,text1,text2,text3,notes
neutrino_lathe,SHIP,"Extremely rare, the product of Neutrino over-engineering. Sometime being mentioned as a battlecruiser, or more appropriately, a mini-battleship, this oversized large cruiser is designed to hunt down other cruiser-size targets with its superiors fire power and defense capability. An oversized phase skimmer provided it surprising burst maneuverability.

An aggressive design initiated before the collapse. The Lathe class is a proofs-of-concept for large convoy escort ship design, which intents be used in long-distance escort missions that the ship replacement is not an option. As a superior all-round built, the Lathe class have a really high survivability on the field. But its high maintain requirement limited its availability a lot.

Although its main front facing armament is designed to counter ship have equal or larger size in one on one combat, when facing multiple incoming small threats, a single Lathe class large cruiser is able to neutralize several of them swiftly before she get flanked and surrounded. 

Designed by Jack-Dickinson Aerospace, a subsidiary of Neutrino corporation.
",,,
neutrino_piledriverC,SHIP,"An armored container transport ship that mainly rely on its armor to keep its cargo safe. Accompanied by a pair of autonomous scout drones to help it navigate its way out of any potential danger, or even fight its way out, if needed.

The original Pile-driver ships were intended for markets with strict AI regulations, to replace the fully autonomous Polarity container drones. Despite the launch of the semi-autonomous variant of Polarity with a new censored pseudo-AI, they're still widely used since they are easier to maintain.

Designed by Jack Dickinson Aerospace, a subsidiary of Neutrino corporation.
",,,
neutrino_piledriver,SHIP,"Stripped of cargo containers and replaced with a drone maintenance module, along with an additional weapon slot and flux core; this modified Pile-driver class variant serves as a light carrier well. The drone control unit can be re-purposed to provide tactical support for operating wings. 

Designed for drone maintenance in asteroid belt mining operations, this carrier variant of Pile-driver class put durability and serviceability at priority one to withstand the hazardous environment in long period of time. Because of this, it was often seen in prolonged low-intensity conflict serve as a light carrier in these days.

The drone maintenance module used to be market under the name of Mobile Dronehive, and it really attracted a lot of unwanted attention from the authorities. Since it was built for maintaining Polarity container drones, a general complaint from the pilots is that the flight deck design lacks ergonomics.

Designed by Jack-Dickinson Aerospace, a subsidiary of Neutrino corporation.
",,,
,,,,,
neutrino_drohne,SHIP,"Completely autonomous armed scout drone, suitable in multiple roles, and is capable of fending for itself. Expensive, but almost considered disposable.",,,
,,,,,
neutrino_baussicaa,SHIP,"Designed to serve major production facilities, this titanic freighter is built to protect its valuable cargo from both attackers and unwarranted scans. ",,,
neutrino_nausicaa,SHIP,"Extremely well armored, this high tech freighter has yet to fail a delivery. Its unique cargo has lent it immense mass. Never attempt to block its path.",,,
,,,,,
neutrino_hacksaw,SHIP,"A heavy destroyer, borderline light cruiser. It's often used as a heavy escort or destroyer leader. The Hacksaw class is a heavy and sturdy built that can withstand most prolonged sustained engagements.

",,,
,,,,,
neutrino_blowtorch,SHIP,"Part construction machinery, part Neutrino technology. This ship is only seen when used to fuse massive super-capital sized armor plates together.",,,
neutrino_jackhammer,SHIP,The latest attempt at combining as many fleet roles as possible into one ship. Half of the ship is dedicated to a phased cannon array. Excessive force is required to take one of these down.,,,
neutrino_singularity,SHIP,"A unique frigate that is completely autonomous down to the self-repair robots on board. Decently armed, gets things done quick.

",,,
neutrino_nirvash,SHIP,"A step away from normal Neutrino designs, the Nirvash focuses most of its offensive power in its broadsides with minimal point defense.",,,
neutrino_hammer,SHIP,A standard Jackhammer class that has been monstrously reconstructed while leaving most of its armaments behind for what appears to be massive durability.,,,
neutrino_schwarzgeist,SHIP,"An advanced bomber drone used to beat down ships, well armored for a fighter craft.",,,
neutrino_grinder,SHIP,"This ship is the result of field tests in which it was noted that shields dissipated most Neutrino beam weaponry. Armed to the teeth, this cruiser is not to be taken lightly.",,,
neutrino_drache,SHIP,"A bomber the size of a large frigate, and is armored as such, its sole purpose is to deliver its graviton inversion device.",,,
neutrino_vice,SHIP,An experimental support ship. Dedicates a large portion of the ship to its single large energy turret. Often seen with a tractor beam disrupting enemies.,,,
neutrino_hildolfr,SHIP,"Derived from a civilian space mining rig. This huge ship has been re-purposed into a carrier. Durable, slow, large, but moderately armed.",,,
neutrino_moskito,SHIP,"An escort corvette drone equipped with powerful point defense armaments. Sturdy and durable, but not so easy to maintain due to its size. Features a data link system that can fetch targeting data from mothership.",,,
neutrino_floh,SHIP,"A top of the line corvette drone equipped to deal with frigates up to cruisers, and often even capitals when used in numbers.",,,
neutrino_banshee,SHIP,"A high tech assault battleship. Without large and bulky integrated energy weapons, the additional energy is re-routed into its monstrous engines. Most often seen as a missile platform.",,,
neutrino_adventure,SHIP,"Created to fill in the gap of reliable and cheap capital ships, the Adventure class is a wolf in sheep's clothing.",,,
neutrino_colossus,SHIP,This monstrosity dedicates all of its energy into its Guardian shield. It depends on allies to defend it in a mutual relationship.,,,
neutrino_guardianship,SHIP,"This massive device draws the power of a whole capital ship. While having no ability to dissipate soft flux, it houses a massive bank of flux capacitors.",,,
neutrino_aegis,SHIP,An unarmed drone meant to cover the weak spots of Neutrino ships with a large 360 shield as opposed to the narrow impenetrable barriers.,,,
neutrino_relativity,SHIP,A complete standalone drone equipped with an Arc Surge system. Lightly armed when the Arc system isn't used in conjunction.,,,
neutrino_causality,SHIP,"An Advanced Phase drone, by miniaturizing the bulky phase coils into standardized Micro-Phase Actuators additional room is given for a phase missile system.",,,
neutrino_unsung,SHIP,"The epitome of the Neutrino fleet, commanded only by the best captains. Its existence is only known through rumors.",,,
neutrino_schwarm,SHIP,A swarm of interlinked drones meant to overwhelm point defense systems while delivering light damage.,,,
neutrino_theend,SHIP,A hybrid phase ship and carrier. With a focus on being a base of operations for the Barghest. The experimental phase ring permits operating fighter wings cross p-space.,,,
neutrino_sledgehammer,SHIP,"A relatively older missile destroyer design modernized up to todays standard with cutting edge armor and the inclusion of a Siege Fusor. Dangerous from afar and up close. The recently modular upgrade also included a set of advanced EW equipments, which greatly extended its tactical role.

",,,
neutrino_nausicaa2,SHIP,"Extremely well armored, this high tech freighter has yet to fail a delivery. Its unique cargo has lent it immense mass. Never attempt to block its path.",,,
neutrino_polarity,SHIP,A shipping container on a engine steered by a simple Z++ encoded pseudo-AI. Useful when cargo space is tight without breaking the bank.,,,
neutrino_bansheenorn,SHIP,"A remodeled Banshee for more direct engagements. It traded all of its large slots for numerous smaller slots, also reinforced with sturdier bulkheads and flux capacitors.",,,
neutrino_maul,SHIP,"A solid heavy cruiser built around three large energy slots. Its signature ability is it's Siege Mode, trading speed and turret rotation for damage and range. ",,,
neutrino_jackhammer2,SHIP,The latest attempt at combining as many fleet roles as possible into one ship. Half of the ship is dedicated to a phased cannon array. Excessive force is required to take one of these down.,,,
neutrino_gepard1,SHIP,"A pair of fighters armed with deadly Misery blaster, a credible threat to any target. Compare those autonomous follow-ons, Gepard Eins is a relatively old model. As one of the few manned Neutrino fighter spacecraft, it mainly serve as an advanced-trainer and keep being modernized. ",,,
neutrino_gepard2,SHIP,"A wing of autonomous drone fighters armed with deadly Misery blaster a credible threat to any target. Gepard Drei is the newest model in Gepard fighter spacecraft line, which feature in fully autonomously. Unmanned feature excused pilot life support from design, and resulting a great reduce on maintenance requirement, especially in combat.",,,
